rid,dataset_name,label_v2,text,matched_claim,rating,label_factcheck,publisher,url,score,concorda
137757187825168288,FC_EFARSAS,fake,Walt Disney congelado,WALT DISNEY ESTÁ CONGELADO NO SUBSOLO DA DISNEYLÂNDIA!!,Falso,fake,boatos.org,https://www.boatos.org/entretenimento/corpo-walt-disney-congelado-apos-morte.html,1.0,1
462828641284781938,FC_EFARSAS,fake,"Julho terá 5 sextas, 5 sábados e 5 domingos","Olha isso Calendário de DEZEMBRO (Esta será a única vez que você verá este fenômeno em sua vida) O mês de DEZEMBRO deste ano terá 5 sextas-feiras, 5 sábados e 5 domingos.",Falso,fake,boatos.org,https://www.boatos.org/brasil/dezembro-2023-fenomeno-acontece-cada-823-anos.html,0.8,1
954570461754657432,FC_EFARSAS,fake,o fim do mundo? – Parte 1,"A OMS quer implantar nos países membros, grande parte do mundo, o chamado novo Tratado Pandêmico. O que é isso? É regulamentar a saúde de forma internacional. (...) Eles querem o poder e a autoridade ",Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2023/12/04/e-falso-que-tratado-pandemico-em-discussao-permite-a-oms-confinar-pessoas,1.0,1
985886702793775790,FC_EFARSAS,fake,o fim do mundo? – Parte 2,"A OMS quer implantar nos países membros, grande parte do mundo, o chamado novo Tratado Pandêmico. O que é isso? É regulamentar a saúde de forma internacional. (...) Eles querem o poder e a autoridade ",Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2023/12/04/e-falso-que-tratado-pandemico-em-discussao-permite-a-oms-confinar-pessoas,1.0,1
1085645733933668272,FC_EFARSAS,fake,o fim do mundo? – Parte 3,"A OMS quer implantar nos países membros, grande parte do mundo, o chamado novo Tratado Pandêmico. O que é isso? É regulamentar a saúde de forma internacional. (...) Eles querem o poder e a autoridade ",Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2023/12/04/e-falso-que-tratado-pandemico-em-discussao-permite-a-oms-confinar-pessoas,1.0,1
917545534013912960,FC_BOATOS,fake,O exame de mamografia causaria câncer na tireoide,Exame de mamografia causa câncer de tireoide,Falso,fake,boatos.org,https://www.boatos.org/saude/exame-de-mamografia-causa-cancer-de-tireoide.html,0.8,1
709095678596789077,FC_EFARSAS,fake,A entrevista que o líder do PCC Marcola deu à Globo é real,"Assustadora mas imperdível a entrevista com o líder do PCC, Marco Willians Herbas Camacho, o Marcola , ao jornal O Globo, Estamos todos no inferno. Não há solução, pois não conhecemos nem o problema.",Falso,fake,boatos.org,https://www.boatos.org/brasil/marcola-do-pcc-da-entrevista-assustadora-ao-jornal-o-globo-boato.html,0.8,1
460853389167159980,FC_BOATOS,fake,"Após ataque terrorista, o embaixador francês no Brasil teve que pedir a presidente Dilma Rousseff para condenar publicamente o atentado",“Dilma terrorista”,Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2018/10/18/imagens-falsas-whatsapp-presidenciaveis-lupa-ufmg-usp,1.0,1
1121195869129173528,FC_BOATOS,fake,"A partir de amanhã, WhatsApp vai cobrar R$ 0,25 por mensagem","“A partir de amanhã serão implementadas novas regras de comunicação para WhatsApp e telefonemas 01.Todas as chamadas serão gravadas. 02.Todas as gravações de chamadas serão salvas. 03.WhatsApp, Facebo",Falso,fake,lupa,https://lupa.uol.com.br/jornalismo/2023/03/10/e-falso-que-governo-vai-monitorar-telefonemas-whatsapp-e-redes-sociais-a-partir-de-amanha,0.8,1
919482259451082255,FC_BOATOS,fake,Imagem mostra mulher que está perdida em uma UPA,"Vídeo que mostra paraquedistas saltando de um avião militar no Rio de Janeiro. Na gravação, uma mulher diz que a imagem foi registrada do bairro de Unamar, onde ela vive. A comunidade fica na cidade d",Falso,fake,folha,https://www1.folha.uol.com.br/poder/2022/12/exercito-nao-esta-fechando-entrada-do-pais-pelo-mar-tuite-mostra-exercicio-militar-feito-desde-1976.shtml,0.8,1
