rid,text,publisher,auto_label,confidence,method,evidence,evidence_title,sim,n_resultados
754545354624318042,Em nome de Deus e da natureza,NEWS_OECO,unknown,-,abstencao,,,,79
444055836036193186,Deputado diz que Bolsonaro quer votar flexibilização de armas em 2019,NEWS_PODER360,unknown,-,abstencao,,,,14
338914208053745914,"&#8220;Se eu compro muitos testes, vão vencer&#8221;, diz Queiroga",NEWS_PODER360,unknown,-,abstencao,,,,0
414319048704208477,"Depois do acordo com a Pfizer, Novartis vai ajudar a produzir vacina da CureVac",NEWS_ECO,unknown,-,abstencao,,,,5
971284348445498954,"Itaipu 50 anos: saiba relação entre usina, expulsão dos Guarani na ditadura e atual conflito no PR",NEWS_BRASILDEFATO,unknown,-,abstencao,,,,7
521646130528712665,Governo Lula celebra 20 anos de políticas públicas de combate ao racismo e lança novas medidas,NEWS_BRASILDEFATO,unknown,-,abstencao,,,,4
142031181891271667,Corinthians lidera público e renda na 1ª fase do Paulistão 2026,NEWS_PODER360,unknown,-,abstencao,,,,52
466032123844674286,"&#8220;Bolsonaro é testa de ferro de um projeto político de militares&#8221;, aponta antropólogo",NEWS_BRASILDEFATO,unknown,-,abstencao,,,,0
922061967849986478,"Em depoimento, Rocha Loures disse que não questionava pedidos de Temer",NEWS_PODER360,unknown,-,abstencao,,,,8
344409264215876448,"Dívida pública sobe 0,98% em agosto e chega a R$ 3,785 trilhões",NEWS_PODER360,unknown,-,abstencao,,,,2
240936246282790605,"Desafeto de Olavo de Carvalho, Santos Cruz é o 3º ministro demitido por Bolsonaro",NEWS_BRASILDEFATO,unknown,-,abstencao,,,,4
886326517435009419,"Ecofeira em celebração aos 9 anos da Ocupação Mercado Sul Vive é destaque da agenda cultural deste fim de semana, confira",NEWS_BRASILDEFATO,unknown,-,abstencao,,,,2
779591741757166315,"&#8220;Só vi coisa semelhante com o que aconteceu a Jango&#8221;, diz Maria Aparecida Aquino",NEWS_BRASILDEFATO,unknown,-,abstencao,,,,0
985723949130647177,PAPO ESPORTIVO | 109 anos de história e superação,NEWS_BRASILDEFATO,unknown,-,abstencao,,,,48
128455077760909067,"MST cobra respostas do Incra e do MDA sobre infraestrutura, educação e políticas para mulheres em assentamentos",NEWS_BRASILDEFATO,unknown,-,abstencao,,,,9
761698360033996903,Bolsonaro diz que governo reduzirá o imposto sobre importação de bicicletas,NEWS_PODER360,unknown,-,abstencao,,,,15
434289220086089456,"Novo coordenador do Enem, Murilo Resende foi expulso do MBL",NEWS_PODER360,unknown,-,abstencao,,,,7
790232511243805999,"No Dia da Enfermagem, profissionais relatam rotinas exaustivas e baixos salários",NEWS_BRASILDEFATO,unknown,-,abstencao,,,,2
94672148337037618,Fórum de diálogo com mulheres negras foi criado na Assembleia Legislativa do Rio,NEWS_BRASILDEFATO,unknown,-,abstencao,,,,16
110974487917989517,Nascidos em novembro e dezembro recebem nesta terça 2ª parcela do auxílio emergencial,NEWS_BRASILDEFATO,true,media,corroboracao,agenciabrasil.ebc.com.br;g1.globo.com;oglobo.globo.com,,,74
661628007668675,ELN pede retomada de negociações de paz e Petro promete cessar-fogo bilateral na Colômbia,NEWS_BRASILDEFATO,unknown,-,abstencao,,,,0
818442227966966562,"Mulher morre após desabamento de casas no bairro Maracanã, no Rio",NEWS_PODER360,true,media,corroboracao,cnnbrasil.com.br;estadao.com.br;g1.globo.com;gauchazh.clicrbs.com.br;metropoles.com;oglobo.globo.com;terra.com.br,,,41
690329461400550622,Consultoria do Senado avalia que indicação de Eduardo é nepotismo,NEWS_PODER360,unknown,-,abstencao,,,,10
721422770910134216,"Ato em defesa da democracia será realizado nesta quarta (8), em Brasília",NEWS_BRASILDEFATO,unknown,-,abstencao,,,,76
1006490864503041003,"Ausência das milícias na medida de Trump contra PCC e CV é vitória de Flávio Bolsonaro, afirma economista Paulo Kliass",NEWS_BRASILDEFATO,unknown,-,abstencao,,,,1
404670708500433271,Italiano de 16 anos é a 1ª vítima identificada em incêndio na Suíça,NEWS_PODER360,true,media,corroboracao,estadao.com.br;g1.globo.com;metropoles.com;oglobo.globo.com,,,39
812246550401422728,"Amazônia tem 16 mil espécies de árvores, mas cerca de 200 predominam",NEWS_OECO,unknown,-,abstencao,,,,6
246345831982106626,"Deficit em 2024 será de 0,1% do PIB sem gasto com RS, diz Haddad",NEWS_PODER360,unknown,-,abstencao,,,,27
203618718550124486,"No Paraná, mulheres da favela exigem paz e direitos sociais garantidos",NEWS_BRASILDEFATO,unknown,-,abstencao,,,,1
745128599251319421,Brasil registra mais 2.641 mortes por covid e total vai a 441 mil vítimas,NEWS_PODER360,unknown,-,abstencao,,,,0
662726321076558234,Desmatamento de florestas mais velhas põe Mata Atlântica em desequilíbrio,NEWS_OECO,unknown,-,abstencao,,,,10
453536971038122200,Mais juízas a pedir menos trabalho para amamentarem revela &#8220;mudança de mentalidade&#8221;,NEWS_ECO,unknown,-,abstencao,,,,0
235597752018898408,Prefeitura de SP diz que tem &#8220;maior Carnaval&#8221; e recebe críticas,NEWS_PODER360,unknown,-,abstencao,,,,0
1135254072922562506,"Lula na Sapucaí foi propaganda antecipada para 45,4% dos brasileiros",NEWS_PODER360,unknown,-,abstencao,,,,14
59067652659418146,Paraíba: João Azevêdo (PSB) é eleito governador da Paraíba,NEWS_PODER360,unknown,-,abstencao,,,,100
582882850679457058,Cerca de 220 mil docentes e não docentes vão ser testados,NEWS_ECO,unknown,-,abstencao,,,,0
97156533005057213,"Na região metropolitana do Rio, 44 entregadores foram baleados e 36 morreram nos últimos 8 anos",NEWS_BRASILDEFATO,unknown,-,abstencao,,,,0
629237671042125216,"UE reconhece o trabalho de sensibilização dos documentários Waves of Tomorrow, promovidos pela Bluewave Alliance e pela Odicean",NEWS_ECO,unknown,-,abstencao,,,,0
816809720311382233,"JB Capital avalia Novobanco entre 4,8 mil milhões e 6,2 mil milhões",NEWS_ECO,unknown,-,abstencao,,,,4
135455642942277681,Assembleia Legislativa proíbe pulverização aérea de agrotóxicos no Ceará; entenda,NEWS_BRASILDEFATO,unknown,-,abstencao,,,,5
106166857899557173,Psol oficializa Boulos como candidato e promete revogar medidas de Temer,NEWS_PODER360,unknown,-,abstencao,,,,1
2162869441690326,"Juíza do caso BES perguntou a Passos se será candidato a Belém. &#8220;Não&#8221;, respondeu",NEWS_ECO,unknown,-,abstencao,,,,0
163153549438554263,Prêmio Comunique-se de 2020 é cancelado,NEWS_PODER360,unknown,-,abstencao,,,,6
