extraindo 39466 embeddings via DmlExecutionProvider (batch=16, max_len=192)
  16/39466  56.6 am/s  ETA 11.6 min
  816/39466  100.3 am/s  ETA 6.4 min
  1616/39466  99.3 am/s  ETA 6.4 min
  2416/39466  98.5 am/s  ETA 6.3 min
  3216/39466  98.1 am/s  ETA 6.2 min
  4016/39466  97.7 am/s  ETA 6.0 min
  4816/39466  96.7 am/s  ETA 6.0 min
  5616/39466  94.9 am/s  ETA 5.9 min
  6416/39466  92.8 am/s  ETA 5.9 min
  7216/39466  90.5 am/s  ETA 5.9 min
  8016/39466  88.8 am/s  ETA 5.9 min
  8816/39466  87.3 am/s  ETA 5.9 min
  9616/39466  86.1 am/s  ETA 5.8 min
  10416/39466  85.1 am/s  ETA 5.7 min
  11216/39466  84.2 am/s  ETA 5.6 min
  12016/39466  83.5 am/s  ETA 5.5 min
  12816/39466  82.8 am/s  ETA 5.4 min
  13616/39466  82.3 am/s  ETA 5.2 min
  14416/39466  81.8 am/s  ETA 5.1 min
  15216/39466  81.3 am/s  ETA 5.0 min
  16016/39466  81.0 am/s  ETA 4.8 min
  16816/39466  80.6 am/s  ETA 4.7 min
  17616/39466  80.3 am/s  ETA 4.5 min
  18416/39466  80.0 am/s  ETA 4.4 min
  19216/39466  79.8 am/s  ETA 4.2 min
  20016/39466  77.4 am/s  ETA 4.2 min
  20816/39466  73.4 am/s  ETA 4.2 min
  21616/39466  70.0 am/s  ETA 4.3 min
  22416/39466  67.1 am/s  ETA 4.2 min
  23216/39466  64.6 am/s  ETA 4.2 min
  24016/39466  62.4 am/s  ETA 4.1 min
  24816/39466  60.5 am/s  ETA 4.0 min
  25616/39466  58.8 am/s  ETA 3.9 min
  26416/39466  57.3 am/s  ETA 3.8 min
  27216/39466  54.8 am/s  ETA 3.7 min
  28016/39466  52.5 am/s  ETA 3.6 min
  28816/39466  50.1 am/s  ETA 3.5 min
  29616/39466  47.3 am/s  ETA 3.5 min
  30416/39466  43.9 am/s  ETA 3.4 min
  31216/39466  40.7 am/s  ETA 3.4 min
  32016/39466  38.1 am/s  ETA 3.3 min
  32816/39466  36.0 am/s  ETA 3.1 min
  33616/39466  34.1 am/s  ETA 2.9 min
  34416/39466  32.5 am/s  ETA 2.6 min
  35216/39466  31.1 am/s  ETA 2.3 min
  36016/39466  29.9 am/s  ETA 1.9 min
  36816/39466  28.8 am/s  ETA 1.5 min
  37616/39466  27.8 am/s  ETA 1.1 min
  38416/39466  27.0 am/s  ETA 0.6 min
  39216/39466  26.2 am/s  ETA 0.2 min
  concluido: 39466 textos em 25.3 min (26.0 am/s)
salvo: models/artifacts/embeddings_ft.npy  shape=(39466, 768)
