cut,chave,n,minoria_n,fake_%,acc,macro_f1,f1_fake,roc_auc,pr_auc,ece,confiavel
group,FC_COMPROVA,143,3,97.9,0.9230769230769231,0.48,0.96,0.4095238095238095,0.9795600947221476,0.039696812462155985,False
group,FC_OBSERVADOR,124,2,98.4,0.9354838709677419,0.48333333333333334,0.9666666666666667,0.6311475409836066,0.9926363608561544,0.09299342929829599,False
group,FC_AOSFATOS,122,1,99.2,0.9508196721311475,0.48739495798319327,0.9747899159663865,0.7603305785123967,0.9977673751715055,0.06512156743272952,False
group,FC_FOLHA,32,1,96.9,0.96875,0.49206349206349204,0.9841269841269841,0.6774193548387096,0.9881392920897017,0.018455579418789853,False
group,FC_LUPA,215,4,98.1,0.9534883720930233,0.5713716108452951,0.9760765550239234,0.773696682464455,0.9937452480526547,0.09743300033323109,False
group,EXT_LIARBR,1049,423,40.3,0.5986653956148713,0.5749058857615337,0.47440699126092384,0.6190152493598895,0.514594909096653,0.027012573370285297,True
group,MuMiN-PT,33,4,87.9,0.8181818181818182,0.6464285714285715,0.8928571428571429,0.8017241379310345,0.9698617580692424,0.12350668764677357,False
group,FC_POLIGRAFO,1625,622,61.7,0.6510769230769231,0.6506911869353291,0.6622989874925551,0.7321187562713787,0.8269498966462675,0.02746610322195594,True
group,EXT_AVERITECBR,439,119,72.9,0.6902050113895216,0.6588966588966589,0.7622377622377622,0.7491596638655462,0.8669363712148077,0.037422484617024375,True
group,FC_EFARSAS,481,62,87.1,0.8357588357588358,0.6596444086165972,0.9044740024183797,0.720032335052737,0.9309856243047242,0.05124571731622384,True
group,FakeWhatsApp.BR_2018,957,357,37.3,0.6666666666666666,0.6651691850753438,0.6427771556550952,0.7790429505135388,0.644784201091379,0.06879390473973412,True
group,FC_BEREIA,30,6,80.0,0.8333333333333334,0.673202614379085,0.9019607843137255,0.9305555555555556,0.9823455315660692,0.10812190754106835,False
group,COVID19.BR,290,126,43.4,0.7896551724137931,0.7895926256318764,0.7859649122807018,0.8800329074719319,0.8377042749078966,0.04447809763232035,True
group,COVID19.BR_raw,56,9,16.1,0.875,0.7948717948717949,0.6666666666666666,0.9361702127659575,0.7434704184704184,0.09349047100159757,False
group,FC_G1,478,17,96.4,0.9790794979079498,0.8556763285024154,0.9891304347826086,0.9561056526732168,0.9979686735877953,0.058287651547212764,False
group,Fake.br,1075,467,56.6,0.9730232558139534,0.9725441913020351,0.9761709120788825,0.9947488166347347,0.9963006099311442,0.028700730972567257,True
group,LLM4BR_300,45,16,64.4,0.9777777777777777,0.9760765550239234,0.9824561403508771,0.9978448275862069,0.9988505747126435,0.0020452702996651842,False
group,FC_AFP,157,0,100.0,0.9490445859872612,,0.9738562091503268,,,0.07497317157800505,False
group,FC_BOATOS,1616,0,100.0,0.9603960396039604,,0.9797979797979798,,,0.06045806388336143,False
group,FC_BOATOS_VIRAL,353,0,100.0,0.9320113314447592,,0.9648093841642229,,,0.04813241291908299,False
group,FC_ESTADAO,221,0,100.0,0.9502262443438914,,0.974477958236659,,,0.06514219628320904,False
group,FC_SBT,30,0,100.0,0.7666666666666667,,0.8679245283018868,,,0.1487035489580848,False
group,FC_UOL,118,0,100.0,0.9322033898305084,,0.9649122807017544,,,0.05913654986129534,False
