cut,group,n,minoria_n,fake_%,acc,macro_f1,f1_fake,roc_auc,pr_auc,ece,confiavel,channel,publisher,era,label_tier
group,FakeWhatsApp.BR_2018,83,34,41.0,0.40963855421686746,0.32092168976456836,0.5663716814159292,0.5900360144057623,0.47874558613294305,0.16347572967607493,False,,,,
group,EXT_LIARBR,71,31,43.7,0.4084507042253521,0.4083333333333333,0.4166666666666667,0.38306451612903225,0.4137251964909908,0.17924485988590558,False,,,,
group,FC_EFARSAS,40,3,92.5,0.85,0.4594594594594595,0.918918918918919,0.3513513513513514,0.9207041572777792,0.29791903390322966,False,,,,
group,Fake.br,76,36,47.4,0.5131578947368421,0.4640747093577282,0.6262626262626263,0.6194444444444445,0.5771634165824513,0.06725995990457284,False,,,,
group,FC_POLIGRAFO,121,39,67.8,0.5867768595041323,0.5860700602079912,0.6031746031746031,0.723264540337711,0.8554547599553951,0.05902288821846548,True,,,,
group,EXT_AVERITECBR,39,9,76.9,0.8717948717948718,0.7692307692307693,0.9230769230769231,0.6518518518518519,0.8409811085065789,0.2957488348748924,False,,,,
group,FC_BOATOS,128,0,100.0,0.8984375,,0.9465020576131687,,,0.315379423937859,False,,,,
group,fakes,207,0,100.0,0.748792270531401,,0.856353591160221,,,0.20139204470219885,False,,,,
group,true,37,0,0.0,0.6486486486486487,,0.0,,,0.1483002695996052,False,,,,
channel,,83,34,41.0,0.40963855421686746,0.32092168976456836,0.5663716814159292,0.5900360144057623,0.47874558613294305,0.16347572967607493,False,whatsapp,,,
channel,,77,36,46.8,0.5064935064935064,0.45814814814814814,0.62,0.6205962059620596,0.5742036759268617,0.0736605335654327,False,portal,,,
channel,,110,49,55.5,0.5727272727272728,0.5453346231641896,0.656934306569343,0.5490130478420877,0.6308432889102151,0.06570936022675408,True,external_claim,,,
channel,,625,43,93.1,0.7856,0.6011904761904762,0.8723809523809524,0.8238631822904179,0.9784545647245955,0.2100595916106144,True,agency_claim,,,
channel,,73,0,0.0,0.4657534246575342,,0.0,,,0.1319619425101876,False,press_true,,,
publisher,,71,31,43.7,0.4084507042253521,0.4083333333333333,0.4166666666666667,0.38306451612903225,0.4137251964909908,0.17924485988590558,False,,ext_liarbr,,
publisher,,40,3,92.5,0.85,0.4594594594594595,0.918918918918919,0.3513513513513514,0.9207041572777792,0.29791903390322966,False,,efarsas,,
publisher,,435,145,66.7,0.6206896551724138,0.5289148797920727,0.7368421052631579,0.6006420927467301,0.7536980937245609,0.0732152237886128,True,,desconhecido,,
publisher,,121,39,67.8,0.5867768595041323,0.5860700602079912,0.6031746031746031,0.723264540337711,0.8554547599553951,0.05902288821846548,True,,poligrafo,,
publisher,,39,9,76.9,0.8717948717948718,0.7692307692307693,0.9230769230769231,0.6518518518518519,0.8409811085065789,0.2957488348748924,False,,ext_averitecbr,,
publisher,,126,0,100.0,0.9365079365079365,,0.9672131147540983,,,0.3531363486787656,False,,boatos,,
era,,243,100,58.8,0.5925925925925926,0.5310983334957606,0.7009063444108762,0.6131468531468532,0.7058037121859557,0.048962065645137276,True,,,sem_data,
era,,497,126,74.6,0.6881287726358148,0.5778742198330895,0.7936085219707057,0.6221922731356694,0.8220431243329002,0.11455193870911243,True,,,2018-2022,
era,,84,27,67.9,0.7142857142857143,0.6407697790449038,0.8032786885245902,0.667966211825861,0.796894957436818,0.16520038380192373,False,,,<=2017,
era,,200,20,90.0,0.785,0.6542157532869607,0.8668730650154799,0.8275,0.9640817922403536,0.21412274340765897,True,,,>=2023,
label_tier,,53,1,98.1,0.7547169811320755,0.43010752688172044,0.8602150537634409,0.4230769230769231,0.9841803776127135,0.2082332083633201,False,,,,checker_match
label_tier,,435,145,66.7,0.6206896551724138,0.5289148797920727,0.7368421052631579,0.6006420927467301,0.7536980937245609,0.0732152237886128,True,,,,v1
label_tier,,501,92,81.6,0.7644710578842315,0.656370611485701,0.8491048593350383,0.726267673009461,0.9109541526883383,0.1902508746855734,True,,,,checker
label_tier,,35,0,0.0,0.2857142857142857,,0.0,,,0.2907375772415132,False,,,,llm_local
