cut,chave,n,minoria_n,fake_%,acc,macro_f1,f1_fake,roc_auc,pr_auc,ece,confiavel
group,FakeWhatsApp.BR_2018,86,28,32.6,0.45348837209302323,0.4363408171803096,0.5346534653465347,0.5751231527093597,0.41693000827973287,0.17117346928666863,False
group,FC_EFARSAS,33,4,87.9,0.8484848484848485,0.45901639344262296,0.9180327868852459,0.6724137931034483,0.913404734894551,0.13993289426962482,False
group,FC_G1,42,2,95.2,0.9285714285714286,0.48148148148148145,0.9629629629629629,0.15,0.9135158538955773,0.22781571837915074,False
group,EXT_AVERITECBR,38,8,78.9,0.6052631578947368,0.5529411764705883,0.7058823529411765,0.6499999999999999,0.8659097216067491,0.16440902266822166,False
group,EXT_LIARBR,68,31,45.6,0.5735294117647058,0.557351290684624,0.4727272727272727,0.5911072362685265,0.5714893304236527,0.03310086307764627,False
group,Fake.br,76,37,51.3,0.6052631578947368,0.5615384615384615,0.7,0.5848925848925849,0.5895794152076288,0.1359146410245719,False
group,FC_POLIGRAFO,117,40,65.8,0.5982905982905983,0.5940199335548173,0.6356589147286822,0.6405844155844156,0.7631056294497597,0.07059381004153262,True
group,FC_BOATOS,139,0,100.0,0.9640287769784173,,0.9816849816849816,,,0.2767550715625764,False
group,fakes,211,0,100.0,0.8767772511848341,,0.9343434343434344,,,0.2270110913779675,False
group,true,37,0,0.0,0.4864864864864865,,0.0,,,0.17342308958249708,False
channel,whatsapp,86,28,32.6,0.45348837209302323,0.4363408171803096,0.5346534653465347,0.5751231527093597,0.41693000827973287,0.17117346928666863,False
channel,portal,76,37,51.3,0.6052631578947368,0.5615384615384615,0.7,0.5848925848925849,0.5895794152076288,0.1359146410245719,False
channel,external_claim,106,45,57.5,0.5849056603773585,0.5849056603773585,0.5849056603773585,0.6316939890710382,0.719798959780132,0.07583233888999047,True
channel,agency_claim,632,47,92.6,0.8528481012658228,0.6502740043912104,0.9164420485175202,0.7817057646844882,0.9669132020344677,0.19528994502327607,True
channel,press_true,73,0,0.0,0.3150684931506849,,0.0,,,0.2930733081884663,False
publisher,efarsas,33,4,87.9,0.8484848484848485,0.45901639344262296,0.9180327868852459,0.6724137931034483,0.913404734894551,0.13993289426962482,False
publisher,g1,42,2,95.2,0.9285714285714286,0.48148148148148145,0.9629629629629629,0.15,0.9135158538955773,0.22781571837915074,False
publisher,ext_averitecbr,38,8,78.9,0.6052631578947368,0.5529411764705883,0.7058823529411765,0.6499999999999999,0.8659097216067491,0.16440902266822166,False
publisher,ext_liarbr,68,31,45.6,0.5735294117647058,0.557351290684624,0.4727272727272727,0.5911072362685265,0.5714893304236527,0.03310086307764627,False
publisher,desconhecido,434,145,66.6,0.6912442396313364,0.5920594837261504,0.7932098765432098,0.6877938193532991,0.8207663291322519,0.06404622122325679,True
publisher,poligrafo,117,40,65.8,0.5982905982905983,0.5940199335548173,0.6356589147286822,0.6405844155844156,0.7631056294497597,0.07059381004153262,True
publisher,boatos,142,0,100.0,0.9788732394366197,,0.9893238434163701,,,0.2801628622588445,False
era,<=2017,80,24,70.0,0.675,0.4372294372294372,0.803030303030303,0.6703869047619048,0.861803581301029,0.10252762802229202,False
era,2018-2022,466,126,73.0,0.7317596566523605,0.6171063096936193,0.826629680998613,0.7400093370681606,0.8951852200846917,0.08878097068046978,True
era,sem_data,237,87,63.3,0.6962025316455697,0.6488888888888888,0.7777777777777778,0.7154022988505746,0.8062951204152944,0.07516505678925844,True
era,>=2023,241,36,85.1,0.7759336099585062,0.6689560439560439,0.8571428571428571,0.7608401084010841,0.9183194124609492,0.16084493212145154,True
label_tier,v1,434,145,66.6,0.6912442396313364,0.5920594837261504,0.7932098765432098,0.6877938193532991,0.8207663291322519,0.06404622122325679,True
label_tier,checker_match,50,1,98.0,0.9,0.6159754224270353,0.946236559139785,1.0,1.0,0.329855073446424,False
label_tier,checker,505,92,81.8,0.7881188118811882,0.6959902329794476,0.8633461047254151,0.7984261501210653,0.9343513134680124,0.1399955156524012,True
label_tier,llm_local,35,0,0.0,0.11428571428571428,,0.0,,,0.49349869595560747,False
