run_id	phase	label	status	group_mean_macro_f1	group_worst_macro_f1	acc	macro_f1	f1_fake	ece	brier	train_loss	steps_done	n_train	n_eval	total_s	tokens_per_s	seed	config_json
001_baseline	1	baseline	ok	0.4437	0.3277	0.7473	0.5415	0.8487	0.0967	0.1846	0.6577	100	5000	3000	573.9	346.7	42	{"batch_size": 32, "class_weights": false, "clip": 1.0, "data_filter": "full", "dfr_weights": "cell", "drop_tiers": "", "eval_batch_size": 64, "eval_n": 3000, "freeze_layers": 6, "lr": 2e-05, "mask_entities": false, "max_length": 192, "seed": 42, "steps": 100, "train_n": 5000, "warmup_frac": 0.1, "weight_clip": 25.0, "weight_decay": 0.01}
002_dfr_off	1	dfr_off	ok	0.4622	0.3277	0.7587	0.5570	0.8559	0.0262	0.1633	0.5411	100	5000	3000	564.6	351.5	42	{"batch_size": 32, "class_weights": false, "clip": 1.0, "data_filter": "full", "dfr_weights": "off", "drop_tiers": "", "eval_batch_size": 64, "eval_n": 3000, "freeze_layers": 6, "lr": 2e-05, "mask_entities": false, "max_length": 192, "seed": 42, "steps": 100, "train_n": 5000, "warmup_frac": 0.1, "weight_clip": 25.0, "weight_decay": 0.01}
003_ml128	1	ml128	ok	0.4541	0.3196	0.7273	0.5929	0.8268	0.0814	0.1861	0.6500	100	5000	3000	457.5	369.0	42	{"batch_size": 32, "class_weights": false, "clip": 1.0, "data_filter": "full", "dfr_weights": "cell", "drop_tiers": "", "eval_batch_size": 64, "eval_n": 3000, "freeze_layers": 6, "lr": 2e-05, "mask_entities": false, "max_length": 128, "seed": 42, "steps": 100, "train_n": 5000, "warmup_frac": 0.1, "weight_clip": 25.0, "weight_decay": 0.01}
004_ml256	1	ml256	ok	0.5089	0.3385	0.7573	0.6115	0.8495	0.1219	0.1872	0.6543	100	5000	3000	649.1	343.6	42	{"batch_size": 32, "class_weights": false, "clip": 1.0, "data_filter": "full", "dfr_weights": "cell", "drop_tiers": "", "eval_batch_size": 64, "eval_n": 3000, "freeze_layers": 6, "lr": 2e-05, "mask_entities": false, "max_length": 256, "seed": 42, "steps": 100, "train_n": 5000, "warmup_frac": 0.1, "weight_clip": 25.0, "weight_decay": 0.01}
005_freeze0	1	freeze0	ok	0.4607	0.3277	0.7430	0.5656	0.8432	0.0983	0.1823	0.6545	100	5000	3000	746.6	249.9	42	{"batch_size": 32, "class_weights": false, "clip": 1.0, "data_filter": "full", "dfr_weights": "cell", "drop_tiers": "", "eval_batch_size": 64, "eval_n": 3000, "freeze_layers": 0, "lr": 2e-05, "mask_entities": false, "max_length": 192, "seed": 42, "steps": 100, "train_n": 5000, "warmup_frac": 0.1, "weight_clip": 25.0, "weight_decay": 0.01}
006_freeze4	1	freeze4	ok	0.4638	0.3277	0.7473	0.5631	0.8468	0.0908	0.1819	0.6543	100	5000	3000	608.4	318.7	42	{"batch_size": 32, "class_weights": false, "clip": 1.0, "data_filter": "full", "dfr_weights": "cell", "drop_tiers": "", "eval_batch_size": 64, "eval_n": 3000, "freeze_layers": 4, "lr": 2e-05, "mask_entities": false, "max_length": 192, "seed": 42, "steps": 100, "train_n": 5000, "warmup_frac": 0.1, "weight_clip": 25.0, "weight_decay": 0.01}
007_freeze8	1	freeze8	ok	0.4501	0.3277	0.7453	0.5495	0.8465	0.1203	0.1920	0.6643	100	5000	3000	497.3	410.6	42	{"batch_size": 32, "class_weights": false, "clip": 1.0, "data_filter": "full", "dfr_weights": "cell", "drop_tiers": "", "eval_batch_size": 64, "eval_n": 3000, "freeze_layers": 8, "lr": 2e-05, "mask_entities": false, "max_length": 192, "seed": 42, "steps": 100, "train_n": 5000, "warmup_frac": 0.1, "weight_clip": 25.0, "weight_decay": 0.01}
008_mask	1	mask	ok	0.5360	0.3254	0.7703	0.6340	0.8574	0.1052	0.1777	0.6539	100	5000	3000	558.3	364.4	42	{"batch_size": 32, "class_weights": false, "clip": 1.0, "data_filter": "full", "dfr_weights": "cell", "drop_tiers": "", "eval_batch_size": 64, "eval_n": 3000, "freeze_layers": 6, "lr": 2e-05, "mask_entities": true, "max_length": 192, "seed": 42, "steps": 100, "train_n": 5000, "warmup_frac": 0.1, "weight_clip": 25.0, "weight_decay": 0.01}
009_lr1e-5	1	lr1e-5	ok	0.3817	0.2966	0.7410	0.4551	0.8498	0.1294	0.1989	0.6790	100	5000	3000	540.9	368.1	42	{"batch_size": 32, "class_weights": false, "clip": 1.0, "data_filter": "full", "dfr_weights": "cell", "drop_tiers": "", "eval_batch_size": 64, "eval_n": 3000, "freeze_layers": 6, "lr": 1e-05, "mask_entities": false, "max_length": 192, "seed": 42, "steps": 100, "train_n": 5000, "warmup_frac": 0.1, "weight_clip": 25.0, "weight_decay": 0.01}
010_lr3e-5	1	lr3e-5	ok	0.5126	0.3277	0.7473	0.6354	0.8374	0.0546	0.1741	0.6427	100	5000	3000	542.8	366.9	42	{"batch_size": 32, "class_weights": false, "clip": 1.0, "data_filter": "full", "dfr_weights": "cell", "drop_tiers": "", "eval_batch_size": 64, "eval_n": 3000, "freeze_layers": 6, "lr": 3e-05, "mask_entities": false, "max_length": 192, "seed": 42, "steps": 100, "train_n": 5000, "warmup_frac": 0.1, "weight_clip": 25.0, "weight_decay": 0.01}
